id,Titel,Nachname,Vornamen,Geburtsjahr,Gruppenname,WahlkreisNr,LandId,Listenplatz,Jahr
4075.0,,Stähle,Johanna,1987.0,V-Partei³,,NW,28,2017.0
4076.0,,Staib,Rainer,1969.0,CDU,,BW,26,2017.0
4077.0,,Stalleicher,Josef Stephan,1950.0,BüSo,,HE,4,2017.0
4078.0,,Stalleicken,Martina,1979.0,MLPD,120,NW,8,2017.0
4079.0,,Stallkamp,Johannes Heinrich,1938.0,BGE,,NI,1,2017.0
4080.0,,Stalz,Helmut,1953.0,FREIE WÄHLER,145,,,2017.0
4081.0,,Stamm,Hans-Joachim,1952.0,AfD,,SL,6,2017.0
4082.0,,Stamm,Arnim,1961.0,Die PARTEI,,BE,60,2017.0
4083.0,,Stamm,Markus,1970.0,ÖDP,,NW,9,2017.0
4084.0,,Stamm-Fibich,Martina,1965.0,SPD,242,BY,14,2017.0
4085.0,Prof. Dr.,Stangl,Christian Ludwig,1965.0,FDP,,BY,40,2017.0
4086.0,,Stankova,Nadeschda,1984.0,V-Partei³,,BY,11,2017.0
4087.0,,Staratschek,Felix Johannes,1966.0,EB: Staratschek,099,,,2017.0
4088.0,,Stark-Watzinger,Bettina,1968.0,FDP,181,HE,4,2017.0
4089.0,,Starosta,Robert Peter,1970.0,FREIE WÄHLER,249,BY,8,2017.0
4090.0,,Staudacher,Jeff,1987.0,FDP,064,,,2017.0
4091.0,,Staudenmaier,Sebastian,1990.0,PIRATEN,,BW,5,2017.0
4092.0,,Stavenhagen,Fritz,1945.0,V-Partei³,,RP,5,2017.0
4093.0,,Stavenhagen,Stefanie,1965.0,V-Partei³,,RP,3,2017.0
4094.0,,Stavridis,Konstantin,1969.0,BGE,,BE,7,2017.0
4095.0,,Stawitz,Ingo,1950.0,NPD,,SH,2,2017.0
4096.0,,Steck,Christian,1992.0,CDU,,BW,31,2017.0
4097.0,Dr.,Steffel,Frank,1966.0,CDU,077,,,2017.0
4098.0,,Steffen,Sonja Amalie,1963.0,SPD,015,MV,1,2017.0
4099.0,,Steffen,Jan Oliver,1973.0,Die PARTEI,,HE,4,2017.0
4100.0,,Steffen,Holger,1954.0,FREIE WÄHLER,006,,,2017.0
4101.0,,Steffen-Stiehl,Christian,1973.0,FDP,293,BW,32,2017.0
4102.0,Dr.,Stefinger,Wolfgang,1985.0,CSU,218,,,2017.0
4103.0,,Stegemann,Albert,1976.0,CDU,031,NI,30,2017.0
4104.0,,Stegmann,Alfred,1961.0,AfD,125,,,2017.0
4105.0,,Stehle,Susanne,1994.0,CDU,,BW,30,2017.0
4106.0,,Stehr,Simone Tatjana,1970.0,CDU,,NW,61,2017.0
4107.0,,Steichele-Guntrum,Stephanie,1973.0,FDP,,RP,33,2017.0
4108.0,,Steier,Andreas,1972.0,CDU,203,RP,10,2017.0
4109.0,,Stein,Jens Mathias,1970.0,SPD,005,SH,9,2017.0
4110.0,,Stein,Peter,1968.0,CDU,014,MV,5,2017.0
4111.0,,Stein,Robert,1979.0,CDU,,NW,75,2017.0
4112.0,Dr.,Stein,Dieter,1957.0,MLPD,,HE,13,2017.0
4113.0,,Stein,Uwe,1970.0,PIRATEN,,NW,7,2017.0
4114.0,,Stein,Jan,1975.0,Die PARTEI,,TH,3,2017.0
4115.0,,Steinböck,Anton,1943.0,BP,,BY,28,2017.0
4116.0,,Steineke,Sebastian,1973.0,CDU,056,BB,7,2017.0
4117.0,,Steiner,Lencke,1985.0,FDP,054,HB,1,2017.0
4118.0,Dr.,Steiner,Dagmar,1964.0,CDU,,SH,11,2017.0
4119.0,,Steinert,Sandra Elisabeth,1992.0,MLPD,,BY,5,2017.0
4120.0,,Steinhage,Wolfram,1955.0,DIE LINKE,089,,,2017.0
4121.0,,Steinhausen,Christina,1979.0,FDP,198,RP,10,2017.0
4122.0,,Steiniger,Johannes,1987.0,CDU,208,RP,13,2017.0
4123.0,,Steinke,Kersten,1958.0,DIE LINKE,189,TH,3,2017.0
4124.0,,Steins,Wolfgang,1959.0,DM,,NW,1,2017.0
4125.0,,Stellrecht-Schmidt,Sabine,1971.0,GRÜNE,249,BY,42,2017.0
4126.0,,Stelzer,Paul,1993.0,MLPD,,NI,5,2017.0
4127.0,,Stemmer,Janina Anja,1984.0,Tierschutzpartei,,HH,5,2017.0
4128.0,Dr.,Stephani,Trutz-Ulrich,1955.0,FDP,284,BW,33,2017.0
4129.0,,Stern,Paul,1953.0,DIE LINKE,044,,,2017.0
4130.0,,Freiherr von Stetten,Christian Alexander,1970.0,CDU,268,,,2017.0
4131.0,,Steuer,Cita Karolina,1971.0,BGE,,BE,12,2017.0
4132.0,,Stewart,Michael,1986.0,AfD,035,,,2017.0
4133.0,,Stieglauer,Stephan,1970.0,FREIE WÄHLER,254,BY,28,2017.0
4134.0,,Stiel,Matthias,1982.0,AfD,292,,,2017.0
4135.0,,Stier,Dieter,1964.0,CDU,073,ST,4,2017.0
4136.0,,Stier,Paula Maria,1997.0,ÖDP,,BB,2,2017.0
4137.0,,Stöber,Klaus,1961.0,AfD,190,,,2017.0
4138.0,,Stöckel,Volker Ewald,1966.0,BGE,,NI,13,2017.0
4139.0,,Stocker,Christof,1961.0,ÖDP,,BW,12,2017.0
4140.0,,Stocker,Maximilian Wolfgang,1991.0,BP,223,,,2017.0
4141.0,,Stockert,Magdalena (Madeleine),1947.0,MLPD,207,RP,4,2017.0
4142.0,,Stockert,Hannes,1972.0,MLPD,118,NW,10,2017.0
4143.0,,Stockhofe,Rita,1967.0,CDU,122,NW,46,2017.0
4144.0,,Stoffel,Fabian Alexander,1995.0,DIE LINKE,133,,,2017.0
4145.0,,Stoffels,Silvia,1961.0,Tierschutzpartei,,BE,1,2017.0
4146.0,,Stöger,Marco,1993.0,DIE LINKE,230,,,2017.0
4147.0,,Stöhr,Christian,1980.0,DM,,BB,3,2017.0
4148.0,,Stoinski,Michal,1994.0,PIRATEN,,BW,18,2017.0
4149.0,,Stoll,Matthias,1960.0,BüSo,161,,,2017.0
4150.0,,Stolle,Henriette,1983.0,Die PARTEI,,BE,8,2017.0
4151.0,,Stolleis,Hans Christoph,1993.0,CDU,,RP,25,2017.0
4152.0,,Stolper,Manfred,1962.0,DKP,129,NW,12,2017.0
4153.0,,Stolz,Bärbel,1975.0,Die PARTEI,,BE,2,2017.0
4154.0,,Stolz,André,1972.0,CDU,,HE,24,2017.0
4155.0,,Stolzenberger,Christoph,1967.0,GRÜNE,089,NW,35,2017.0
4156.0,,Stone,James Clayton,1979.0,V-Partei³,,BY,21,2017.0
4157.0,,Stoof,Sophie-Johanna,1987.0,Die PARTEI,,MV,6,2017.0
4158.0,,Stoof,Angelika,1956.0,EB: Stoof,012,,,2017.0
4159.0,,Stoop,David Christopher,1983.0,DIE LINKE,023,HH,6,2017.0
4160.0,,Stoppiera-Wiebelt,Yvette Susan,1979.0,GRÜNE,,SL,5,2017.0
4161.0,,von Storch,Beatrix,1971.0,AfD,075,BE,1,2017.0
4162.0,,Storjohann,Gero,1958.0,CDU,008,SH,4,2017.0
4163.0,,Stöver,Birgit,1970.0,CDU,,HH,9,2017.0
4164.0,,Stracke,Johannes,1981.0,SPD,,NW,86,2017.0
4165.0,,Stracke,Stephan,1974.0,CSU,257,,,2017.0
4166.0,Dr.,Strack-Zimmermann,Marie-Agnes,1958.0,FDP,106,NW,2,2017.0
4167.0,,Straetmanns,Friedrich,1961.0,DIE LINKE,132,NW,12,2017.0
4168.0,Dr.,Strank,Oliver,1979.0,SPD,182,HE,25,2017.0
4169.0,,Straßberger,Günter,1963.0,AfD,228,,,2017.0
4170.0,,Strasser,Benjamin,1987.0,FDP,294,BW,8,2017.0
4171.0,,Straubinger,Max,1954.0,CSU,230,BY,13,2017.0
4172.0,,Streib,Matthias,1983.0,Die PARTEI,103,,,2017.0
4173.0,,Strengmann-Kuhn,Wolfgang,1964.0,GRÜNE,185,HE,4,2017.0
4174.0,,Strenz,Karin,1967.0,CDU,013,MV,4,2017.0
4175.0,,Streubel,Jens,1977.0,FREIE WÄHLER,195,,,2017.0
4176.0,Dr.,Strewe,Uta,1971.0,SPD,156,SN,7,2017.0
4177.0,,Strickner,Gerald,1953.0,BüSo,222,BY,3,2017.0
4178.0,,Striess-Grubert,Udo,1959.0,FREIE WÄHLER,026,NI,2,2017.0
4179.0,,Stritzl,Thomas,1957.0,CDU,005,SH,6,2017.0
4180.0,,Struckmann,Merle,1981.0,CDU,,NI,45,2017.0
4181.0,,Stübe,Yves-Christian,1978.0,SPD,,SH,18,2017.0
4182.0,,Stüber,Pascal,1996.0,AfD,040,,,2017.0
4183.0,,Stübgen,Michael,1959.0,CDU,065,BB,1,2017.0
4184.0,,Stucke,Ingo,1971.0,SPD,,NW,77,2017.0
4185.0,Dr.,Stumpf,Thomas,1954.0,SPD,,RP,35,2017.0
4186.0,,Stumpp,Margit,1963.0,GRÜNE,270,BW,13,2017.0
4187.0,,Stuppy,Lisett,1988.0,GRÜNE,,RP,7,2017.0
4188.0,,Sturm,Erich Walter,1961.0,PIRATEN,,HB,1,2017.0
4189.0,,Sturm,Wolfgang,1942.0,FREIE WÄHLER,192,,,2017.0
4190.0,,Stürmer,Dominik,1989.0,NPD,270,BW,1,2017.0
4191.0,,Stürtz,Heinrich,1949.0,DIE LINKE,277,,,2017.0
4192.0,,Stussig,Mario-Frank Constantin,1952.0,FDP,,HH,7,2017.0
4193.0,,Suding,Katja Rita,1975.0,FDP,019,HH,1,2017.0
4194.0,,Sudmann,Wilhelm Heinrich Friedrich,1960.0,NPD,,NI,8,2017.0
4195.0,,Sulfrian,Helge,1965.0,SPD,,NW,82,2017.0
4196.0,,Sulzbacher,Andreas,1975.0,FDP,250,BY,36,2017.0
4197.0,,Suntrup,Sonja,1967.0,GRÜNE,,MV,5,2017.0
4198.0,,Supe,Johannes,1989.0,DKP,,BE,3,2017.0
4199.0,,Susam,Adem,1981.0,AD-DEMOKRATEN,,NW,3,2017.0
4200.0,,Süßdorf,Jacqueline,1966.0,NPD,,SL,4,2017.0
4201.0,,Süssig,Arno,1957.0,FREIE WÄHLER,,MV,9,2017.0
4202.0,,Swoboda,Gerald,1968.0,BGE,,ST,4,2017.0
4203.0,,Swoboda,Andrea,1968.0,GRÜNE,125,,,2017.0
4204.0,,Sziborra-Seidlitz,Susan,1977.0,GRÜNE,068,,,2017.0
4205.0,,Tacer,Philipp,1983.0,SPD,106,NW,46,2017.0
4206.0,,Täck,Ulrike,1968.0,GRÜNE,008,SH,7,2017.0
4207.0,,Tack,Kerstin,1968.0,SPD,041,NI,22,2017.0
4208.0,Dr.,Tackmann,Kirsten,1960.0,DIE LINKE,056,BB,1,2017.0
4209.0,,Täge,Mathias,1980.0,PIRATEN,060,,,2017.0
4210.0,,Talsky,Thomas Gerhard Alexander,1990.0,DKP,,BY,3,2017.0
4211.0,,Tambarlin,Florian,1991.0,BP,,BY,29,2017.0
4212.0,,Tank,Susanne,1960.0,V-Partei³,,HH,6,2017.0
4213.0,,Ta_,Hakan,1966.0,DIE LINKE,077,BE,6,2017.0
4214.0,,Tassis,Alexander,1970.0,AfD,,HB,3,2017.0
4215.0,,Tatti,Jessica,1981.0,DIE LINKE,289,BW,5,2017.0
4216.0,,Tatura,Taro Atanas,1992.0,Die PARTEI,,HH,10,2017.0
4217.0,Dr.,Tauber,Peter Michael,1974.0,CDU,175,HE,4,2017.0
4218.0,,Täubner-Benicke,Kerstin,1967.0,GRÜNE,224,BY,30,2017.0
4219.0,,Tausend,Claudia,1964.0,SPD,218,BY,12,2017.0
4220.0,,Tautorus,Sönke,1996.0,Die PARTEI,,SN,13,2017.0
4221.0,,Tavernaro,Katja,1977.0,FDP,154,SN,8,2017.0
4222.0,,Tawil,Mohamad,1953.0,MLPD,075,BE,5,2017.0
4223.0,,Taylor,Henry Ben,1994.0,V-Partei³,,HE,3,2017.0
4224.0,Dr.,Tebroke,Hermann-Josef,1964.0,CDU,100,NW,43,2017.0
4225.0,,Tegtmeier,Martina,1958.0,SPD,012,MV,3,2017.0
4226.0,,Tegtmeier,Ines,1970.0,FDP,234,BY,50,2017.0
4227.0,,Tegtow,Thomas,1981.0,Die PARTEI,,BE,74,2017.0
4228.0,,Teichmann,Ivo Tilo,1967.0,AfD,,SN,15,2017.0
4229.0,,Teitz,Elise,1977.0,Die PARTEI,,NW,18,2017.0
4230.0,,Tempel,Frank,1969.0,DIE LINKE,194,TH,4,2017.0
4231.0,,Terhalle,Marion,1968.0,FDP,025,NI,19,2017.0
4232.0,,Terpoorten,Adelheid Maria Irmgard,1966.0,GRÜNE,,BY,28,2017.0
4233.0,,Terzi,Ilhami,1969.0,DiB,,BE,10,2017.0
4234.0,,Tesche,Isabelle,1988.0,V-Partei³,,SN,2,2017.0
4235.0,,Teschendorf,Clemens,1974.0,SPD,001,SH,8,2017.0
4236.0,,Teske,Ramona,1969.0,V-Partei³,,TH,9,2017.0
4237.0,,Teske,Robert,1990.0,AfD,,HB,2,2017.0
4238.0,,Tessin,Manfred,1939.0,ÖDP,,BE,1,2017.0
4239.0,,Teubner,Karsten Uwe,1965.0,AfD,164,,,2017.0
4240.0,,Teuteberg,Linda,1981.0,FDP,061,BB,1,2017.0
4241.0,,Teuteberg,Holger Jürgen Ulrich,1964.0,AfD,032,,,2017.0
4242.0,,von Thadden,Ulrike Annemarie,1961.0,GRÜNE,071,,,2017.0
4243.0,,Thalmann,Philipp,1988.0,CDU,,NI,57,2017.0
4244.0,,Thalmann,Hendrik,1985.0,Die PARTEI,,NW,19,2017.0
4245.0,,Thamm,Alexander,1974.0,DiB,,BY,4,2017.0
4246.0,,Thanbichler,Agnes,1948.0,ÖDP,225,,,2017.0
4247.0,,Thannheiser,Heinz Franz Paul,1938.0,BP,224,BY,30,2017.0
4248.0,,Theemann,Hendrik,1969.0,FDP,026,NI,25,2017.0
4249.0,,Theis,Claudia,1966.0,FREIE WÄHLER,027,NI,1,2017.0
4250.0,,Thelen,Susanne,1990.0,CDU,,RP,30,2017.0
