id,Titel,Nachname,Vornamen,Geburtsjahr,Gruppenname,WahlkreisNr,LandId,Listenplatz,Jahr
0.0,,Nicolaisen,Petra,1965,CDU,1.0,SH,4.0,2021.0
1.0,,Brzezicha,Franziska Maria,1993,SPD,1.0,SH,6.0,2021.0
2.0,,Anastasiadis,Christoph Georgios,1995,FDP,1.0,SH,6.0,2021.0
3.0,,Habeck,Robert,1969,GRÜNE,1.0,SH,2.0,2021.0
4.0,,Petersen-Brendel,Jan,1968,AfD,1.0,,,2021.0
5.0,,Hoop,Katrine,1970,DIE LINKE,1.0,SH,3.0,2021.0
6.0,,Jöhnk,Arne Olaf,1978,FREIE WÄHLER,1.0,,,2021.0
7.0,,Wölbing,Marko,1982,dieBasis,1.0,,,2021.0
8.0,,Keshavarz Khorasgani,Dariush,1994,du.,1.0,SH,3.0,2021.0
9.0,,Christiansen,Uwe Hermann,1961,LKR,1.0,SH,2.0,2021.0
10.0,,Seidler,Stefan,1979,SSW,1.0,SH,1.0,2021.0
11.0,,Damerow,Astrid,1958,CDU,2.0,SH,2.0,2021.0
12.0,,Jensen,Jens Peter,1953,SPD,2.0,SH,11.0,2021.0
13.0,,Jensen-Bornhöft,Gyde,1989,FDP,2.0,SH,2.0,2021.0
14.0,,Loop,Denise,1994,GRÜNE,2.0,SH,5.0,2021.0
15.0,,Clasen,Andrej,1990,AfD,2.0,,,2021.0
16.0,,Jensen,Hartmut Otto,1960,DIE LINKE,2.0,,,2021.0
17.0,,Wilhelmi,Traymont,1992,FREIE WÄHLER,2.0,SH,4.0,2021.0
18.0,,Stolz,Sandor,1966,dieBasis,2.0,SH,10.0,2021.0
19.0,,Frey,Axel,1984,LKR,2.0,SH,8.0,2021.0
20.0,,Nitsch,Sybilla Lena,1980,SSW,2.0,SH,3.0,2021.0
21.0,,Helfrich,Mark,1978,CDU,3.0,SH,7.0,2021.0
22.0,Dr.,Thissen,Karin,1960,SPD,3.0,SH,8.0,2021.0
23.0,,Kubicki,Wolfgang,1952,FDP,3.0,SH,1.0,2021.0
24.0,Dr.,Nestle,Ingrid Johanna,1977,GRÜNE,3.0,SH,3.0,2021.0
25.0,,Voigt,Jan,1954,AfD,3.0,,,2021.0
